,Year,Team,Name,Salary,Prev_Salary
305,2004,KIA,강철민,4400,2800
306,2003,KIA,강철민,2800,
307,2010,LG,강철민,3800,6500
308,2022,NC,강태경,3200,3000
309,2021,NC,강태경,3000,2700
310,2020,NC,강태경,2700,
311,2024,DOOSAN,강태완,3000,
312,2001,KIA,강태원,4400,
313,2001,KIA,강태원,4400,
314,2001,KIA,강태원,4400,
315,2001,KIA,강태원,4400,
316,2024,LOTTE,강태율,3600,3900
317,2023,LOTTE,강태율,3900,3300
318,2022,LOTTE,강태율,3300,3200
319,2021,LOTTE,강태율,3200,2700
320,2020,LOTTE,강태율,2700,
321,2001,HYUNDAI,강필선,2000,
322,2016,KIA,강한울,6000,5000
323,2015,KIA,강한울,5000,2400
324,2014,KIA,강한울,2400,
325,2025,SAMSUNG,강한울,7000,10000
326,2024,SAMSUNG,강한울,10000,15000
327,2023,SAMSUNG,강한울,15000,10000
328,2022,SAMSUNG,강한울,10000,12000
329,2021,SAMSUNG,강한울,12000,12000
330,2020,SAMSUNG,강한울,12000,15500
331,2018,SAMSUNG,강한울,15500,9000
332,2017,SAMSUNG,강한울,9000,6000
333,2007,SK/SSG,강혁,5700,6000
334,2004,SK/SSG,강혁,6000,3800
335,2003,SK/SSG,강혁,3800,4200
336,2002,SK/SSG,강혁,4200,3800
337,2001,SK/SSG,강혁,3800,
338,2025,DOOSAN,강현구,3000,3000
339,2024,DOOSAN,강현구,3000,3000
340,2022,DOOSAN,강현구,3000,3000
341,2021,DOOSAN,강현구,3000,
342,2025,KT,강현우,5000,5000
343,2024,KT,강현우,5000,3000
344,2023,KT,강현우,3000,3000
345,2021,KT,강현우,3000,2700
346,2020,KT,강현우,2700,
347,2024,LG,강효종,3800,3300
348,2023,LG,강효종,3300,3000
349,2022,LG,강효종,3000,3000
350,2021,LG,강효종,3000,
351,2022,LOTTE,경우진,3000,
352,2011,LG,경헌호,3100,6500
353,2010,LG,경헌호,6500,6500
354,2009,LG,경헌호,6500,6300
355,2008,LG,경헌호,6300,6800
356,2007,LG,경헌호,6800,6300
357,2006,LG,경헌호,6300,5200
358,2005,LG,경헌호,5200,6500
359,2004,LG,경헌호,6500,4800
360,2003,LG,경헌호,4800,4000
361,2002,LG,경헌호,4000,2800
362,2001,LG,경헌호,2800,
363,2018,DOOSAN,계정웅,2700,
364,2024,LOTTE,고경표,3000,
365,2015,LOTTE,고도현,2900,2400
366,2014,LOTTE,고도현,2400,2400
367,2013,LOTTE,고도현,2400,
368,2015,HANWHA,고동진,9000,10000
369,2014,HANWHA,고동진,10000,8000
370,2013,HANWHA,고동진,8000,7000
371,2012,HANWHA,고동진,7000,6000
372,2011,HANWHA,고동진,6000,10000
373,2008,HANWHA,고동진,10000,8000
374,2007,HANWHA,고동진,8000,4500
375,2006,HANWHA,고동진,4500,3400
376,2005,HANWHA,고동진,3400,
377,2011,SK/SSG,고든,-,
378,2024,KIA,고명성,3100,3100
379,2023,KT,고명성,3100,3100
380,2022,KT,고명성,3100,3000
381,2021,KT,고명성,3000,2800
382,2019,KT,고명성,2800,2700
383,2018,KT,고명성,2700,
384,2025,SK/SSG,고명준,8000,3000
385,2024,SK/SSG,고명준,3000,3000
386,2023,SK/SSG,고명준,3000,3000
387,2022,SK/SSG,고명준,3000,3000
388,2021,SK/SSG,고명준,3000,
389,2023,DOOSAN,고봉재,3300,3300
390,2021,DOOSAN,고봉재,3300,3300
391,2018,DOOSAN,고봉재,3300,4400
392,2017,DOOSAN,고봉재,4400,2700
393,2016,DOOSAN,고봉재,2700,
394,2004,HANWHA,고상천,1800,1700
395,2003,HANWHA,고상천,1700,1700
396,2002,HANWHA,고상천,1700,-
397,2001,HANWHA,고상천,-,
398,2022,KT,고성민,3000,2700
399,2020,KT,고성민,2700,2700
400,2019,KT,고성민,2700,
401,2018,LOTTE,고성우,2700,
402,2025,LOTTE,고승민,18500,8000
403,2024,LOTTE,고승민,8000,7300
404,2023,LOTTE,고승민,7300,3800
405,2022,LOTTE,고승민,3800,3800
406,2020,LOTTE,고승민,3800,2700
407,2019,LOTTE,고승민,2700,
408,2024,NC,고승완,3000,
409,2016,DOOSAN,고영민,15000,7500
410,2015,DOOSAN,고영민,7500,7500
411,2014,DOOSAN,고영민,7500,7500
412,2013,DOOSAN,고영민,7500,8000
413,2012,DOOSAN,고영민,8000,9500
414,2011,DOOSAN,고영민,9500,13500
415,2010,DOOSAN,고영민,13500,16000
416,2009,DOOSAN,고영민,16000,12000
417,2008,DOOSAN,고영민,12000,4200
418,2007,DOOSAN,고영민,4200,2100
419,2006,DOOSAN,고영민,2100,2100
420,2005,DOOSAN,고영민,2100,2000
421,2003,DOOSAN,고영민,2000,
422,2016,KIA,고영우,3900,3200
423,2015,KIA,고영우,3200,2800
424,2014,KIA,고영우,2800,
425,2025,HEROES,고영우,4500,3000
426,2024,HEROES,고영우,3000,3900
427,2025,LG,고영웅,3000,
428,2023,HANWHA,고영재,3000,
429,2021,KT,고영찬,2700,2700
430,2020,KT,고영찬,2700,
431,2020,KIA,고영창,5800,2900
432,2021,KIA,고영창,5200,5800
433,2023,KIA,고영창,5000,4200
434,2022,KIA,고영창,4200,5200
435,2019,KIA,고영창,2900,2800
436,2018,KIA,고영창,2800,2700
437,2015,KIA,고영창,2700,2500
438,2014,KIA,고영창,2500,2400
439,2013,KIA,고영창,2400,
440,2025,KT,고영표,200000,200000
441,2024,KT,고영표,200000,43000
442,2023,KT,고영표,43000,30000
443,2022,KT,고영표,30000,12000
444,2021,KT,고영표,12000,11500
445,2018,KT,고영표,11500,5200
446,2017,KT,고영표,5200,4400
447,2016,KT,고영표,4400,2700
448,2015,KT,고영표,2700,
449,2003,KIA,고우석,-,
450,2007,KIA,고우석,3000,3000
451,2004,KIA,고우석,3000,-
452,2012,KIA,고우석,2800,2300
453,2011,KIA,고우석,2300,2300
454,2009,KIA,고우석,2300,2300
455,2008,KIA,고우석,2300,3000
456,2023,LG,고우석,43000,27000
457,2022,LG,고우석,27000,18000
458,2021,LG,고우석,18000,22000
459,2020,LG,고우석,22000,6200
460,2019,LG,고우석,6200,4000
461,2018,LG,고우석,4000,2700
462,2017,LG,고우석,2700,2800
463,2017,DOOSAN,고원준,6800,6800
464,2016,DOOSAN,고원준,6800,9000
465,2013,LOTTE,고원준,9000,11000
466,2012,LOTTE,고원준,11000,5500
467,2011,LOTTE,고원준,5500,2400
468,2010,HEROES,고원준,2400,
469,2020,KIA,고장혁,5000,4300
470,2017,KIA,고장혁,4300,
471,2025,KIA,고종욱,15000,15000
472,2024,KIA,고종욱,15000,7000
473,2023,KIA,고종욱,7000,7000
474,2022,KIA,고종욱,7000,11000
475,2021,SK/SSG,고종욱,11000,17000
476,2020,SK/SSG,고종욱,17000,11000
477,2019,SK/SSG,고종욱,11000,11000
478,2018,HEROES,고종욱,11000,12000
479,2017,HEROES,고종욱,12000,7700
480,2016,HEROES,고종욱,7700,3100
481,2015,HEROES,고종욱,3100,2900
482,2014,HEROES,고종욱,2900,
483,2004,SAMSUNG,고지행,10000,5000
484,2003,SAMSUNG,고지행,5000,
485,2005,HANWHA,고지행,10000,10000
486,2012,DOOSAN,고창성,8500,9700
487,2011,DOOSAN,고창성,9700,6000
488,2010,DOOSAN,고창성,6000,2000
489,2009,DOOSAN,고창성,2000,-
490,2008,DOOSAN,고창성,-,
491,2015,NC,고창성,6200,7000
492,2014,NC,고창성,7000,8500
493,2013,NC,고창성,8500,8500
494,2018,KT,고창성,5000,6200
495,2017,KIA,고효준,8000,8000
496,2016,KIA,고효준,8000,9300
497,2020,LOTTE,고효준,10000,9000
498,2019,LOTTE,고효준,9000,10000
499,2018,LOTTE,고효준,10000,8000
500,2002,LOTTE,고효준,-,
501,2024,SK/SSG,고효준,15300,8500
502,2023,SK/SSG,고효준,8500,4000
503,2022,SK/SSG,고효준,4000,5000
504,2015,SK/SSG,고효준,9300,11000
505,2014,SK/SSG,고효준,11000,10000
506,2011,SK/SSG,고효준,10000,8000
507,2010,SK/SSG,고효준,8000,2700
508,2009,SK/SSG,고효준,2700,2700
509,2008,SK/SSG,고효준,2700,2800
510,2007,SK/SSG,고효준,2800,3700
511,2006,SK/SSG,고효준,3700,2500
512,2005,SK/SSG,고효준,2500,1900
513,2004,SK/SSG,고효준,1900,-
514,2021,LG,고효준,5000,10000
515,2025,SAMSUNG,공민규,4300,4100
516,2024,SAMSUNG,공민규,4100,4000
517,2023,SAMSUNG,공민규,4000,4000
518,2022,SAMSUNG,공민규,4000,4000
519,2020,SAMSUNG,공민규,4000,2700
520,2019,SAMSUNG,공민규,2700,2700
521,2018,SAMSUNG,공민규,2700,
522,2012,HANWHA,공민호,2400,
523,2018,NC,공수빈,2700,
524,2018,SAMSUNG,곽경문,2700,2700
525,2017,SAMSUNG,곽경문,2700,
526,2025,KIA,곽도규,12000,3300
527,2024,KIA,곽도규,3300,3000
528,2023,KIA,곽도규,3000,
529,2011,SAMSUNG,곽동훈,3000,2200
530,2009,SAMSUNG,곽동훈,2200,2100
531,2008,SAMSUNG,곽동훈,2100,
532,2023,LG,곽민호,3000,
533,2018,SAMSUNG,곽병선,2700,
534,2025,DOOSAN,곽빈,38000,21000
535,2024,DOOSAN,곽빈,21000,14000
536,2023,DOOSAN,곽빈,14000,6500
537,2022,DOOSAN,곽빈,6500,3000
538,2021,DOOSAN,곽빈,3000,3500
539,2020,DOOSAN,곽빈,3500,2700
540,2018,DOOSAN,곽빈,2700,
541,2014,KIA,곽정철,7000,7000
542,2011,KIA,곽정철,7000,7000
543,2010,KIA,곽정철,7000,2500
544,2015,KIA,곽정철,6500,7000
545,2016,KIA,곽정철,5500,6500
546,2017,KIA,곽정철,5000,5500
547,2018,KIA,곽정철,4000,5000
548,2009,KIA,곽정철,2500,2000
549,2008,KIA,곽정철,2000,2000
550,2007,KIA,곽정철,2000,2000
551,2005,KIA,곽정철,2000,
552,2001,KIA,곽채진,5600,
553,2001,KIA,곽채진,5600,
554,2002,KIA,곽채진,4600,5600
555,2002,KIA,곽채진,4600,5600
556,2003,DOOSAN,곽채진,3600,4600
557,2003,KIA,곽현희,6000,4700
558,2001,KIA,곽현희,5700,
559,2004,KIA,곽현희,5000,6000
560,2002,KIA,곽현희,4700,5700
561,2010,HANWHA,구대성,-,-
562,2009,HANWHA,구대성,-,-
563,2008,HANWHA,구대성,-,-
564,2007,HANWHA,구대성,-,-
565,2006,HANWHA,구대성,-,
566,2004,DOOSAN,구명환,-,
567,2001,SAMSUNG,구민호,1800,
568,2015,HANWHA,구본범,2700,2600
569,2014,HANWHA,구본범,2600,2000
570,2009,HANWHA,구본범,2000,
571,2025,LG,구본혁,13500,7000
572,2024,LG,구본혁,7000,7000
573,2022,LG,구본혁,7000,6300
574,2021,LG,구본혁,6300,4000
575,2020,LG,구본혁,4000,2700
576,2019,LG,구본혁,2700,
577,2025,LOTTE,구승민,30000,45000
578,2024,LOTTE,구승민,45000,24860
579,2023,LOTTE,구승민,24860,18100
580,2022,LOTTE,구승민,18100,15000
581,2021,LOTTE,구승민,15000,8000
582,2020,LOTTE,구승민,8000,9500
583,2019,LOTTE,구승민,9500,3400
584,2018,LOTTE,구승민,3400,2900
585,2015,LOTTE,구승민,2900,2400
586,2014,LOTTE,구승민,2400,
587,2025,SAMSUNG,구자욱,200000,200000
588,2024,SAMSUNG,구자욱,200000,200000
589,2023,SAMSUNG,구자욱,200000,250000
590,2022,SAMSUNG,구자욱,250000,36000
591,2021,SAMSUNG,구자욱,36000,28000
592,2020,SAMSUNG,구자욱,28000,30000
593,2019,SAMSUNG,구자욱,30000,25000
594,2018,SAMSUNG,구자욱,25000,16000
595,2017,SAMSUNG,구자욱,16000,8000
596,2016,SAMSUNG,구자욱,8000,2700
597,2015,SAMSUNG,구자욱,2700,-
598,2014,SAMSUNG,구자욱,-,2400
599,2012,SAMSUNG,구자욱,2400,
600,2007,DOOSAN,구자운,11000,11000
601,2004,DOOSAN,구자운,11000,9000
602,2003,DOOSAN,구자운,9000,5700
603,2002,DOOSAN,구자운,5700,4300
604,2001,DOOSAN,구자운,4300,
605,2010,SAMSUNG,구자운,7500,11000
606,2015,HEROES,구자형,2700,2400
607,2014,HEROES,구자형,2400,
608,2020,DOOSAN,구장익,2700,
609,2022,SAMSUNG,구준범,3200,3100
610,2021,SAMSUNG,구준범,3100,2800
611,2020,SAMSUNG,구준범,2800,2800
612,2017,SAMSUNG,구준범,2800,2800
613,2016,SAMSUNG,구준범,2800,
614,2023,NC,구창모,60000,19000
615,2022,NC,구창모,19000,25000
616,2021,NC,구창모,25000,18000
617,2020,NC,구창모,18000,12500
618,2019,NC,구창모,12500,9000
619,2018,NC,구창모,9000,5700
620,2017,NC,구창모,5700,2700
621,2016,NC,구창모,2700,2700
622,2015,NC,구창모,2700,
623,2018,NC,구황,2700,
624,2021,DOOSAN,국해성,5000,4500
625,2020,DOOSAN,국해성,4500,5000
626,2019,DOOSAN,국해성,5000,5000
627,2018,DOOSAN,국해성,5000,5000
628,2017,DOOSAN,국해성,5000,3000
629,2016,DOOSAN,국해성,3000,2800
630,2015,DOOSAN,국해성,2800,2400
631,2012,DOOSAN,국해성,2400,
632,2023,LOTTE,국해성,3000,5000
633,2025,HANWHA,권광민,3800,3300
634,2024,HANWHA,권광민,3300,3100
635,2023,HANWHA,권광민,3100,3000
636,2022,HANWHA,권광민,3000,
637,2020,SK/SSG,권기영,2700,2700
638,2018,SK/SSG,권기영,2700,2700
639,2017,SK/SSG,권기영,2700,
640,2007,SK/SSG,권덕준,2000,-
641,2006,SK/SSG,권덕준,-,-
642,2005,SK/SSG,권덕준,-,
643,2007,HYUNDAI,권도영,2000,
644,2010,HEROES,권도영,2800,2800
645,2009,HEROES,권도영,2800,2000
646,2008,HEROES,권도영,2000,2000
647,2024,HANWHA,권동욱,3000,
648,2025,KT,권동진,4600,4600
649,2024,KT,권동진,4600,4200
650,2022,KT,권동진,4200,3000
651,2021,KT,권동진,3000,
652,2023,LG,권동혁,3000,
653,2021,LOTTE,권동현,3000,
654,2004,DOOSAN,권명철,5300,3500
655,2003,DOOSAN,권명철,3500,4000
656,2002,SK/SSG,권명철,4000,4000
657,2001,SK/SSG,권명철,4000,
658,2025,HANWHA,권민규,3000,
659,2024,DOOSAN,권민석,3100,3100
660,2023,DOOSAN,권민석,3100,3300
661,2022,DOOSAN,권민석,3300,3500
662,2021,DOOSAN,권민석,3500,2700
663,2020,DOOSAN,권민석,2700,2700
664,2019,DOOSAN,권민석,2700,2700
665,2018,DOOSAN,권민석,2700,
666,2006,LOTTE,권민성,-,-
667,2005,LOTTE,권민성,-,
668,2021,NC,권법수,3000,2700
669,2020,NC,권법수,2700,2700
670,2017,NC,권법수,2700,
671,2025,KT,권성준,3000,3000
672,2023,KT,권성준,3000,3000
673,2022,KT,권성준,3000,
674,2005,HANWHA,권영근,2000,-
675,2004,HANWHA,권영근,-,
676,2013,LOTTE,권영준,2500,2400
677,2012,LOTTE,권영준,2400,2000
678,2009,LOTTE,권영준,2000,
679,2012,SK/SSG,권영진,2500,2500
680,2009,SK/SSG,권영진,2500,-
681,2008,SK/SSG,권영진,-,
682,2009,SAMSUNG,권오원,4000,3400
683,2008,SAMSUNG,권오원,3400,2400
684,2007,SAMSUNG,권오원,2400,2200
685,2003,SAMSUNG,권오원,2200,-
686,2002,SAMSUNG,권오원,-,
687,2020,SAMSUNG,권오준,8000,15000
688,2019,SAMSUNG,권오준,15000,15000
